SalesOrderID,OrderDate,DueDate,ShipDate,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,CustomerID,SalesPersonID,TerritoryID,CreditCardID,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue
43659,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43659,PO522145787,29825,279,5,16281,105041Vi84182,20565.6206,1971.5149,616.0984,23153.2339
43660,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43660,PO18850127500,29672,279,5,5618,115213Vi29411,1294.2529,124.2483,38.8276,1457.3288
43661,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43661,PO18473189620,29734,282,6,1346,85274Vi6854,32726.4786,3153.7696,985.553,36865.8012
43662,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43662,PO18444174044,29994,282,6,10456,125295Vi53935,28832.5289,2775.1646,867.2389,32474.9324
43663,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43663,PO18009186470,29565,276,4,4322,45303Vi22691,419.4589,40.2681,12.5838,472.3108
43664,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43664,PO16617121983,29898,280,1,806,95555Vi4081,24432.6088,2344.9921,732.81,27510.4109
43665,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43665,PO16588191572,29580,283,1,15232,35568Vi78804,14352.7713,1375.9427,429.9821,16158.6961
43666,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43666,PO16008173883,30052,276,4,13349,105623Vi69217,5056.4896,486.3747,151.9921,5694.8564
43667,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43667,PO15428132599,29974,277,3,10370,55680Vi53503,6107.082,586.1203,183.1626,6876.3649
43668,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43668,PO14732180295,29614,282,6,1566,85817Vi8045,35944.1562,3461.7654,1081.8017,40487.7233
43669,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43669,PO14123169936,29747,283,1,15538,25877Vi80261,714.7043,70.5175,22.0367,807.2585
43670,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43670,PO14384116310,29566,275,3,18017,105888Vi93490,6122.082,587.5603,183.6126,6893.2549
